main_use,use_type
住家用,1
見其他登記事項,4
商業用,2
見使用執照,4
集合住宅,1
停車空間,3
工業用,2
住商用,1
（Ｈ２）集合住宅，第二組：多戶住宅,1
一般事務所,2
（Ｈ２）集合住宅,1
多戶住宅、住宅,1
策略性產業（資訊服務業）,2
策略性產業（Ｇ２）（資訊服務業）,2
一般零售業,2
防空避難室兼停車場,3
農舍,2
一般零售業甲組,2
自由職業事務所,2
一般零售業〈甲組〉,2
（Ｇ３）一般零售業甲組（不含日用百貨）,2
餐廳、地下室、防空避難室,2
集合住宅、樓梯間、外廊、水箱、自有機械工具房、停車空間,1
一般零售業甲乙組，（Ｇ３）,2
金融保險業（不含銀行、合作社）,2
一般零售業甲組（G3）（不含日用百貨）,2
住工用,1
員工宿舍,1
策略型產業、（供第一目：資訊服務業使用）,2
日常用品零售業,2
日常服務業,2
一般零售業甲組（除便利商店以外）,2
多戶集合住宅,1
一般事務所（Ｇ－２）,2
多戶住宅,1
地下室,2
地下停車場,3
國民住宅,1
一般零售業（甲組及乙組）,2
商店、變電室、防空避難室,2
Ｈ－２類第２組多戶住宅,1
